ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,VerticalWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,VerticalWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,PerturbedVerticalWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,VerticalStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,O2nd_m3,O2mass_pct,O2mole_pct,O2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,Ond_m3,Omass_pct,Omole_pct,Oamw,H2Ond_m3,H2Omass_pct,H2Omole_pct,H2Oamw,TemperatureDaily_K,PressureDaily_Pa,DensityDaily_kgm3,EWWindDaily_ms,NSWindDaily_ms,TemperatureMin_K,TemperatureMax_K,DensityMin_kgm3,DensityMax_kgm3,PlanetoGraphicHeight_km,PlanetoGraphicLatitude_deg,ReferenceHeight_km,ReferenceRadius_km,GroundTemperature_K,ThermosphereBaseHeight_km,ThermosphereBaseTemperature_K,ExosphericTemperature_K,F1PeakHeight_km,Albedo,HeightOffset_km,LocalHeightOffset_km,DustOpticalDepth,DustColumnArealDensity_kgm2,DustMixingRatio,DustMassDensity_ugm3,DustNumberDensity_m3,IceIsPresent,WavePerturbation_pct
0.0,0.000,22.00,48.00,3393.766,3393.766,3.710,171.3,5.387e+02,1.664e-02,10.459,10.459,210.8,5.186e+02,1.039,-0.398,214.0,6.360e+02,1.550e-02,0.0,1.631e-02,1.697e-02,1.677e-02,0.8,2.00,210.0,0.00,7.4,5.3,9.5,8.2,0.0,0.0,0.000,-1.6,-0.3,0.407,-1.6,-0.3,0.407,2.0,2.0,0.400,172.16,3.29,194.11,2.26,138.17,12.58,1.48,88774.9,2.3089e+23,1.890e+02,1.373e+00,43.404,0.9865,4.2861e+21,1.71,1.86,39.96,2.1887e+23,96.11,94.79,44.01,2.5977e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,7.1436e+21,2.00,3.09,28.02,3.3770e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,7.9371e+16,0.00,0.00,18.02,210.0,5.205e+02,1.311e-02,0.0,0.0,169.7,273.0,8.917e-03,1.801e-02,0.394,22.24,0.394,3393.372,166.3,999.000,0.0,0.0,999.900,0.274,-0.001,0.000,0.300,0.002,0.000,180.231,917907.367,0,0.0
0.0,1.000,22.00,48.00,3394.766,3393.766,3.708,191.6,4.896e+02,1.352e-02,10.459,7.863,221.7,5.186e+02,0.944,0.602,213.9,5.800e+02,1.420e-02,0.0,1.325e-02,1.379e-02,1.365e-02,1.0,2.00,220.5,24.94,-4.8,-6.7,-2.9,-3.8,-0.4,4.5,-0.002,-4.5,-1.1,0.238,-4.9,3.4,0.236,3.4,3.4,1.979,172.16,3.29,194.11,2.26,138.17,12.58,1.48,88774.9,1.8755e+23,1.890e+02,1.357e+00,43.403,0.9865,3.4815e+21,1.71,1.86,39.96,1.7778e+23,96.11,94.79,44.01,2.1100e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,5.8026e+21,2.00,3.09,28.02,2.7430e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,3.2005e+18,0.00,0.00,18.02,213.7,4.770e+02,1.181e-02,2.5,3.3,189.4,244.2,9.994e-03,1.374e-02,1.394,22.24,1.394,3393.372,166.3,999.000,0.0,0.0,999.900,0.274,-0.001,0.000,0.300,0.002,0.000,146.269,744942.617,99,0.0
0.0,2.000,22.00,48.00,3395.766,3393.766,3.706,198.0,4.449e+02,1.189e-02,10.459,7.863,224.9,5.186e+02,0.858,1.602,213.8,5.300e+02,1.300e-02,0.0,1.166e-02,1.213e-02,1.190e-02,0.1,2.00,224.8,24.94,-8.6,-10.3,-6.7,-8.5,3.0,2.3,0.003,-4.5,-0.4,0.208,-1.5,1.9,0.211,3.2,3.2,1.599,172.16,3.29,194.11,2.26,138.17,12.58,1.48,88774.9,1.6495e+23,1.890e+02,1.352e+00,43.402,0.9865,3.0619e+21,1.71,1.86,39.96,1.5635e+23,96.11,94.79,44.01,1.8557e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,5.1031e+21,2.00,3.09,28.02,2.4124e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,8.7208e+18,0.00,0.01,18.02,214.6,4.372e+02,1.078e-02,5.2,2.6,195.7,238.2,9.510e-03,1.213e-02,2.394,22.24,2.394,3393.372,166.3,999.000,0.0,0.0,999.900,0.274,-0.001,0.000,0.300,0.002,0.000,128.522,654559.338,99,0.0
0.0,3.000,22.00,48.00,3396.766,3393.766,3.704,204.4,4.043e+02,1.047e-02,10.459,7.863,228.2,5.186e+02,0.780,2.602,213.6,4.840e+02,1.180e-02,0.0,1.026e-02,1.068e-02,1.054e-02,0.7,2.00,227.4,24.94,-11.3,-13.0,-9.5,-10.7,7.3,0.0,0.000,-3.0,0.5,1.173,4.4,0.6,1.173,2.9,2.9,1.219,172.16,3.29,194.11,2.26,138.17,12.58,1.48,88774.9,1.4523e+23,1.890e+02,1.347e+00,43.400,0.9864,2.6955e+21,1.71,1.86,39.96,1.3764e+23,96.11,94.78,44.01,1.6337e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,4.4925e+21,2.00,3.09,28.02,2.1237e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.2303e+19,0.01,0.02,18.02,215.6,4.006e+02,9.834e-03,7.9,1.8,202.1,232.1,9.034e-03,1.069e-02,3.394,22.24,3.394,3393.372,166.3,999.000,0.0,0.0,999.900,0.274,-0.001,0.000,0.300,0.002,0.000,113.043,575723.937,99,0.0
0.0,4.000,22.00,48.00,3397.766,3393.766,3.701,210.8,3.675e+02,9.223e-03,10.459,7.863,231.3,5.186e+02,0.709,3.602,213.4,4.410e+02,1.080e-02,0.0,9.043e-03,9.408e-03,9.280e-03,0.6,2.00,230.6,24.94,-14.6,-16.3,-12.9,-14.1,10.8,-2.2,0.000,-2.3,0.6,0.707,8.5,-1.6,0.707,2.7,2.7,0.839,172.16,3.29,194.11,2.26,138.17,12.58,1.48,88774.9,1.2800e+23,1.890e+02,1.343e+00,43.393,0.9863,2.3752e+21,1.71,1.86,39.96,1.2129e+23,96.10,94.75,44.01,1.4395e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,3.9586e+21,2.00,3.09,28.02,1.8714e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,5.3870e+19,0.02,0.04,18.02,216.5,3.672e+02,8.973e-03,10.3,1.0,208.4,226.1,8.569e-03,9.419e-03,4.394,22.24,4.394,3393.372,166.3,999.000,0.0,0.0,999.900,0.274,-0.001,0.000,0.300,0.002,0.000,99.522,506861.518,99,0.0
0.0,5.000,22.00,48.00,3398.766,3393.766,3.699,217.2,3.340e+02,8.136e-03,10.778,12.041,234.4,5.186e+02,0.644,4.743,212.9,4.030e+02,9.900e-03,0.0,7.976e-03,8.298e-03,8.130e-03,-0.1,2.00,234.5,24.94,-17.8,-19.4,-16.2,-17.9,14.2,-4.4,0.000,-2.7,0.1,0.226,11.5,-4.4,0.226,2.5,2.5,0.500,172.16,3.29,194.11,2.26,138.17,12.58,1.48,88774.9,1.1295e+23,1.890e+02,1.339e+00,43.376,0.9859,2.0945e+21,1.71,1.85,39.96,1.0695e+23,96.07,94.69,44.01,1.2694e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,3.4908e+21,2.00,3.09,28.02,1.6502e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,1.2362e+20,0.05,0.11,18.02,217.5,3.365e+02,8.188e-03,12.6,0.2,214.8,220.0,8.116e-03,8.285e-03,5.394,22.24,5.394,3393.372,166.3,999.000,0.0,0.0,999.900,0.274,-0.001,0.000,0.300,0.002,0.000,87.695,446629.281,99,0.0
0.0,6.000,22.00,48.00,3399.766,3393.766,3.697,215.2,3.044e+02,7.486e-03,10.778,12.041,233.4,5.186e+02,0.587,5.743,212.4,3.680e+02,9.060e-03,0.0,7.336e-03,7.639e-03,7.582e-03,1.3,2.05,232.0,24.94,-17.4,-19.0,-15.7,-16.3,15.5,-4.4,0.000,-3.3,2.0,0.088,12.2,-2.5,0.088,2.6,2.6,0.520,172.16,3.29,194.11,2.26,138.17,12.58,1.48,88774.9,1.0392e+23,1.890e+02,1.340e+00,43.380,0.9860,1.9273e+21,1.71,1.85,39.96,9.8417e+22,96.08,94.70,44.01,1.1681e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,3.2122e+21,2.00,3.09,28.02,1.5185e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,9.5062e+19,0.04,0.09,18.02,215.4,3.067e+02,7.535e-03,13.2,0.2,212.8,217.7,7.470e-03,7.617e-03,6.394,22.24,6.394,3393.372,166.3,999.000,0.0,0.0,999.900,0.274,-0.001,0.000,0.300,0.002,0.000,80.607,410528.595,99,0.0
0.0,7.000,22.00,48.00,3400.766,3393.766,3.695,213.1,2.774e+02,6.889e-03,10.778,12.041,232.4,5.186e+02,0.535,6.743,210.8,3.350e+02,8.320e-03,0.0,6.747e-03,7.034e-03,6.877e-03,-0.2,2.10,232.6,24.94,-17.2,-18.9,-15.5,-17.3,16.9,-4.4,0.000,-2.7,0.0,0.286,14.2,-4.4,0.286,2.7,2.7,0.540,172.16,3.29,194.11,2.26,138.17,12.58,1.48,88774.9,9.5620e+22,1.890e+02,1.342e+00,43.384,0.9861,1.7737e+21,1.71,1.85,39.96,9.0570e+22,96.08,94.72,44.01,1.0750e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,2.9561e+21,2.00,3.09,28.02,1.3974e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,7.2733e+19,0.03,0.08,18.02,213.3,2.795e+02,6.936e-03,13.8,0.2,210.8,215.4,6.876e-03,7.004e-03,7.394,22.24,7.394,3393.372,166.3,999.000,0.0,0.0,999.900,0.274,-0.001,0.000,0.300,0.002,0.000,74.095,377364.105,99,0.0
0.0,8.000,22.00,48.00,3401.766,3393.766,3.693,211.0,2.528e+02,6.340e-03,10.778,12.041,231.4,5.186e+02,0.488,7.743,209.2,3.060e+02,7.650e-03,0.0,6.205e-03,6.477e-03,6.391e-03,0.8,2.17,230.5,24.94,-17.1,-18.9,-15.3,-16.5,18.2,-4.4,0.000,-5.0,0.8,0.103,13.2,-3.7,0.103,2.8,2.8,0.560,172.16,3.29,194.11,2.26,138.17,12.58,1.48,88774.9,8.7993e+22,1.890e+02,1.343e+00,43.388,0.9862,1.6324e+21,1.71,1.86,39.96,8.3357e+22,96.09,94.73,44.01,9.8934e+19,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,2.7207e+21,2.00,3.09,28.02,1.2861e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,5.5359e+19,0.03,0.06,18.02,211.2,2.548e+02,6.385e-03,14.4,0.2,208.9,213.1,6.330e-03,6.441e-03,8.394,22.24,8.394,3393.372,166.3,999.000,0.0,0.0,999.900,0.274,-0.001,0.000,0.300,0.002,0.000,68.113,346894.677,99,0.0
0.0,9.000,22.00,48.00,3402.766,3393.766,3.690,209.0,2.304e+02,5.835e-03,10.778,12.041,230.4,5.186e+02,0.444,8.743,207.1,2.790e+02,7.040e-03,0.0,5.708e-03,5.965e-03,5.929e-03,1.6,2.23,228.6,24.94,-17.1,-18.9,-15.3,-15.8,19.5,-4.4,0.000,-5.0,1.2,-0.001,14.6,-3.2,-0.001,2.9,2.9,0.580,172.16,3.29,194.11,2.26,138.17,12.58,1.48,88774.9,8.0983e+22,1.890e+02,1.344e+00,43.390,0.9862,1.5025e+21,1.71,1.86,39.96,7.6725e+22,96.09,94.74,44.01,9.1062e+19,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,2.5042e+21,2.00,3.09,28.02,1.1838e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,4.1908e+19,0.02,0.05,18.02,209.1,2.322e+02,5.878e-03,15.0,0.2,206.9,210.8,5.828e-03,5.923e-03,9.394,22.24,9.394,3393.372,166.3,999.000,0.0,0.0,999.900,0.274,-0.001,0.000,0.300,0.002,0.000,62.616,318899.118,99,0.0
