ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,MinMaxFactor
0.0,-85.000,22.00,48.00,24618.308,24703.308,11.063,158.4,1.343e+06,2.641e+00,41.338,53.027,878.6,1.000e+05,13.424,-107.359,159.4,1.324e+06,2.589e+00,0.0,2.589e+00,2.694e+00,2.662e+00,0.8,1.98,875.1,0.00,2.0,0.0,4.1,2.8,-310.8,0.0,-20.1,-3.7,-330.9,-3.7,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,6.0861e+26,3.208e+03,1.519e+00,2.613,1.0082,4.8515e+26,61.63,79.71,2.02,1.1380e+26,28.62,18.70,4.00,9.6639e+24,9.75,1.59,16.04,-0.089
0.0,-84.000,22.00,48.00,24619.308,24703.308,11.062,157.6,1.310e+06,2.592e+00,41.338,53.027,876.5,1.000e+05,13.103,-106.359,158.6,1.293e+06,2.541e+00,0.0,2.541e+00,2.643e+00,2.619e+00,1.0,1.98,871.9,1.56,2.0,0.0,4.0,3.1,-310.8,0.0,-18.9,-7.8,-329.7,-7.8,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,5.9725e+26,3.208e+03,1.519e+00,2.613,1.0080,4.7609e+26,61.63,79.71,2.02,1.1167e+26,28.63,18.70,4.00,9.4828e+24,9.75,1.59,16.04,-0.089
0.0,-83.000,22.00,48.00,24620.308,24703.308,11.061,156.8,1.279e+06,2.543e+00,41.338,53.027,874.3,1.000e+05,12.790,-105.359,157.8,1.262e+06,2.493e+00,0.0,2.493e+00,2.594e+00,2.567e+00,0.9,1.98,870.3,1.57,2.0,-0.0,4.0,2.9,-310.8,0.0,-23.9,-10.3,-334.7,-10.3,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,5.8610e+26,3.207e+03,1.520e+00,2.613,1.0078,4.6720e+26,61.63,79.71,2.02,1.0959e+26,28.63,18.70,4.00,9.3050e+24,9.75,1.59,16.04,-0.089
0.0,-82.000,22.00,48.00,24621.308,24703.308,11.061,156.0,1.249e+06,2.496e+00,41.338,53.027,872.2,1.000e+05,12.485,-104.359,157.0,1.232e+06,2.447e+00,0.0,2.447e+00,2.546e+00,2.515e+00,0.8,1.98,868.8,1.58,2.0,-0.0,4.0,2.8,-310.8,0.0,-22.7,-10.1,-333.5,-10.1,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,5.7515e+26,3.206e+03,1.521e+00,2.613,1.0075,4.5848e+26,61.63,79.71,2.02,1.0754e+26,28.63,18.70,4.00,9.1306e+24,9.75,1.59,16.04,-0.089
0.0,-81.000,22.00,48.00,24622.308,24703.308,11.060,155.2,1.219e+06,2.449e+00,41.338,53.027,870.1,1.000e+05,12.186,-103.359,156.2,1.203e+06,2.402e+00,0.0,2.401e+00,2.498e+00,2.472e+00,0.9,1.98,866.0,1.58,2.0,-0.0,4.0,2.9,-310.8,0.0,-20.9,-8.0,-331.7,-8.0,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,5.6441e+26,3.206e+03,1.521e+00,2.613,1.0073,4.4992e+26,61.63,79.71,2.02,1.0554e+26,28.63,18.70,4.00,8.9595e+24,9.75,1.59,16.04,-0.089
0.0,-80.000,22.00,48.00,24623.308,24703.308,11.059,154.4,1.190e+06,2.403e+00,41.338,53.027,868.0,1.000e+05,11.895,-102.359,155.4,1.174e+06,2.358e+00,0.0,2.356e+00,2.452e+00,2.437e+00,1.4,1.98,862.0,1.59,1.9,-0.1,4.0,3.4,-310.8,0.0,-20.7,-7.7,-331.5,-7.7,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,5.5388e+26,3.205e+03,1.522e+00,2.613,1.0071,4.4152e+26,61.63,79.71,2.02,1.0357e+26,28.63,18.70,4.00,8.7915e+24,9.74,1.59,16.04,-0.089
0.0,-79.000,22.00,48.00,24624.308,24703.308,11.058,153.6,1.161e+06,2.359e+00,41.312,53.357,865.8,1.000e+05,11.610,-101.294,154.6,1.146e+06,2.314e+00,0.0,2.312e+00,2.406e+00,2.392e+00,1.4,1.98,859.8,1.59,1.9,-0.1,4.0,3.4,-310.8,0.0,-20.6,-9.7,-331.4,-9.7,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,5.4360e+26,3.204e+03,1.523e+00,2.613,1.0069,4.3332e+26,61.63,79.71,2.02,1.0165e+26,28.63,18.70,4.00,8.6277e+24,9.74,1.59,16.04,-0.089
0.0,-78.000,22.00,48.00,24625.308,24703.308,11.057,152.8,1.133e+06,2.315e+00,41.312,53.357,863.7,1.000e+05,11.333,-100.294,153.8,1.119e+06,2.271e+00,0.0,2.269e+00,2.361e+00,2.343e+00,1.2,1.98,858.4,1.60,1.9,-0.1,4.0,3.2,-310.8,0.0,-21.4,-11.5,-332.3,-11.5,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,5.3351e+26,3.204e+03,1.524e+00,2.613,1.0067,4.2528e+26,61.63,79.71,2.02,9.9759e+25,28.63,18.70,4.00,8.4669e+24,9.74,1.59,16.04,-0.089
0.0,-77.000,22.00,48.00,24626.308,24703.308,11.056,152.0,1.106e+06,2.272e+00,41.312,53.357,861.5,1.000e+05,11.062,-99.294,153.0,1.092e+06,2.230e+00,0.0,2.227e+00,2.317e+00,2.307e+00,1.6,1.98,854.9,1.60,1.9,-0.1,3.9,3.5,-310.8,0.0,-23.4,-6.6,-334.3,-6.6,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,5.2360e+26,3.203e+03,1.524e+00,2.613,1.0065,4.1739e+26,61.63,79.71,2.02,9.7907e+25,28.63,18.70,4.00,8.3091e+24,9.74,1.59,16.04,-0.089
0.0,-76.000,22.00,48.00,24627.308,24703.308,11.055,151.2,1.080e+06,2.230e+00,41.312,53.357,859.4,1.000e+05,10.797,-98.294,152.2,1.066e+06,2.189e+00,0.0,2.186e+00,2.274e+00,2.262e+00,1.4,1.98,853.3,1.61,1.9,-0.1,3.9,3.3,-310.8,0.0,-27.5,-5.7,-338.3,-5.7,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,5.1389e+26,3.202e+03,1.525e+00,2.613,1.0063,4.0964e+26,61.63,79.71,2.02,9.6090e+25,28.63,18.70,4.00,8.1543e+24,9.74,1.59,16.04,-0.089
0.0,-75.000,22.00,48.00,24628.308,24703.308,11.054,150.4,1.054e+06,2.188e+00,41.312,53.357,857.2,1.000e+05,10.539,-97.294,151.3,1.041e+06,2.148e+00,0.0,2.146e+00,2.232e+00,2.212e+00,1.1,1.98,852.7,1.61,1.9,-0.1,3.9,2.9,-310.8,0.0,-24.7,-2.7,-335.6,-2.7,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,5.0435e+26,3.202e+03,1.526e+00,2.613,1.0060,4.0204e+26,61.63,79.71,2.02,9.4306e+25,28.63,18.70,4.00,8.0023e+24,9.74,1.59,16.04,-0.089
0.0,-74.000,22.00,48.00,24629.308,24703.308,11.053,149.6,1.029e+06,2.148e+00,41.369,53.743,855.1,1.000e+05,10.287,-96.428,150.5,1.016e+06,2.109e+00,0.0,2.106e+00,2.191e+00,2.160e+00,0.6,1.98,852.7,1.62,1.8,-0.1,3.9,2.4,-310.8,0.0,-22.7,-4.6,-333.5,-4.6,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,4.9505e+26,3.201e+03,1.527e+00,2.613,1.0059,3.9463e+26,61.63,79.71,2.02,9.2568e+25,28.63,18.70,4.00,7.8542e+24,9.74,1.59,16.04,-0.089
0.0,-73.000,22.00,48.00,24630.308,24703.308,11.052,148.8,1.004e+06,2.108e+00,41.369,53.743,853.1,1.000e+05,10.042,-95.428,149.7,9.922e+05,2.070e+00,0.0,2.067e+00,2.151e+00,2.125e+00,0.8,1.98,849.8,1.63,1.8,-0.2,3.9,2.6,-310.8,0.0,-23.5,-3.3,-334.3,-3.3,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,4.8593e+26,3.200e+03,1.528e+00,2.613,1.0057,3.8736e+26,61.63,79.72,2.02,9.0862e+25,28.63,18.70,4.00,7.7088e+24,9.74,1.59,16.04,-0.089
0.0,-72.000,22.00,48.00,24631.308,24703.308,11.051,148.0,9.803e+05,2.069e+00,41.369,53.743,851.0,1.000e+05,9.802,-94.428,148.9,9.686e+05,2.033e+00,0.0,2.029e+00,2.111e+00,2.084e+00,0.7,1.98,848.2,1.63,1.8,-0.2,3.9,2.5,-310.8,0.0,-23.9,-1.2,-334.7,-1.2,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,4.7698e+26,3.200e+03,1.529e+00,2.613,1.0055,3.8022e+26,61.63,79.72,2.02,8.9188e+25,28.63,18.70,4.00,7.5660e+24,9.74,1.59,16.04,-0.089
0.0,-71.000,22.00,48.00,24632.308,24703.308,11.050,147.2,9.569e+05,2.031e+00,41.369,53.743,849.0,1.000e+05,9.568,-93.428,148.1,9.456e+05,1.995e+00,0.0,1.992e+00,2.072e+00,2.048e+00,0.8,1.98,845.5,1.64,1.8,-0.2,3.8,2.6,-310.8,0.0,-24.0,-0.8,-334.8,-0.8,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,4.6819e+26,3.199e+03,1.530e+00,2.613,1.0053,3.7322e+26,61.63,79.72,2.02,8.7544e+25,28.63,18.70,4.00,7.4260e+24,9.74,1.59,16.04,-0.089
0.0,-70.000,22.00,48.00,24633.308,24703.308,11.049,146.4,9.340e+05,1.994e+00,41.369,53.743,846.9,1.000e+05,9.339,-92.428,147.3,9.232e+05,1.959e+00,0.0,1.955e+00,2.034e+00,2.021e+00,1.4,1.98,841.2,1.64,1.8,-0.2,3.8,3.2,-310.8,0.0,-23.2,3.0,-334.0,3.0,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,4.5956e+26,3.199e+03,1.531e+00,2.613,1.0051,3.6634e+26,61.63,79.72,2.02,8.5930e+25,28.63,18.70,4.00,7.2885e+24,9.74,1.59,16.04,-0.089
0.0,-69.000,22.00,48.00,24634.308,24703.308,11.048,145.6,9.117e+05,1.957e+00,41.379,54.138,844.8,1.000e+05,9.116,-91.449,146.5,9.012e+05,1.923e+00,0.0,1.919e+00,1.997e+00,1.981e+00,1.2,1.98,839.8,1.65,1.8,-0.2,3.8,3.0,-310.8,0.0,-19.2,3.1,-330.0,3.1,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,4.5115e+26,3.198e+03,1.532e+00,2.613,1.0050,3.5964e+26,61.63,79.72,2.02,8.4359e+25,28.63,18.70,4.00,7.1546e+24,9.74,1.59,16.04,-0.089
0.0,-68.000,22.00,48.00,24635.308,24703.308,11.047,144.8,8.899e+05,1.922e+00,41.379,54.138,842.7,1.000e+05,8.899,-90.449,145.7,8.798e+05,1.888e+00,0.0,1.884e+00,1.960e+00,1.945e+00,1.2,1.98,837.6,1.66,1.8,-0.2,3.8,3.0,-310.8,0.0,-20.0,-0.5,-330.8,-0.5,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,4.4290e+26,3.198e+03,1.534e+00,2.613,1.0048,3.5306e+26,61.64,79.72,2.02,8.2815e+25,28.63,18.70,4.00,7.0231e+24,9.74,1.59,16.04,-0.089
0.0,-67.000,22.00,48.00,24636.308,24703.308,11.047,144.0,8.687e+05,1.886e+00,41.379,54.138,840.7,1.000e+05,8.686,-89.449,144.9,8.590e+05,1.854e+00,0.0,1.849e+00,1.924e+00,1.910e+00,1.2,1.98,835.5,1.66,1.7,-0.3,3.8,3.0,-310.8,0.0,-17.1,-2.6,-327.9,-2.6,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,4.3480e+26,3.197e+03,1.535e+00,2.613,1.0046,3.4660e+26,61.64,79.72,2.02,8.1301e+25,28.63,18.70,4.00,6.8940e+24,9.73,1.59,16.04,-0.089
