Height,T(K),P,rho,a
999.36,291.03,0.00591674,0.00000000542844,1250.55
993.9,284.85,0.0064808,0.00000000607496,1237.2
988,278.67,0.00715054,0.00000000685142,1223.7
982.97,272.49,0.00777538,0.00000000761909,1210.05
978.17,266.31,0.00842408,0.0000000084463,1196.25
973.58,260.13,0.00909371,0.00000000933431,1182.29
968.99,253.95,0.00981658,0.0000000103215,1168.17
963.74,247.77,0.0107133,0.0000000115454,1153.86
959.15,241.59,0.0115649,0.0000000127819,1139.38
955.44,235.41,0.0123037,0.0000000139553,1124.72
952.38,229.23,0.0129473,0.0000000150812,1109.86
946.91,223.05,0.0141817,0.0000000169767,1094.8
943.2,216.87,0.0150875,0.0000000185757,1079.52
939.92,210.69,0.0159348,0.0000000201942,1064.04
937.73,204.51,0.0165259,0.0000000215759,1048.32
930.3,198.33,0.0187046,0.0000000251815,1032.35
928.12,192.15,0.0193984,0.0000000269553,1016.15
921.78,185.97,0.0215596,0.000000030954,999.67
916.97,179.79,0.0233583,0.0000000346892,982.92
911.51,173.61,0.0255851,0.0000000393488,965.88
905.39,167.43,0.0283321,0.0000000451822,948.53
895.99,161.25,0.0331359,0.0000000548692,930.85
885.94,155.07,0.0391799,0.0000000674646,912.83
869.77,148.88,0.0513004,0.0000000920066,894.43
843.11,142.68,0.0800031,0.000000149715,875.62
795.4,137.59,0.177175,0.000000343818,859.87
753.82,135.89,0.354296,0.000000696132,854.54
710.47,135.34,0.72968,0.00000143953,852.81
627.81,135.79,2.89372,0.00000569003,854.21
565.31,137.91,8.20098,0.0000158779,860.86
503.79,139.91,22.8628,0.0000436313,867.08
440.19,141.83,65.9954,0.000124241,873.01
386.18,143.48,162.346,0.000302122,878.06
336.82,142.6,369.598,0.000692044,875.37
291.29,137.8,789.372,0.00152958,860.5
254.36,131.59,1460.88,0.00296421,840.91
226.82,125.4,2311.68,0.0049223,820.87
208.03,119.21,3162.04,0.00708259,800.36
191.42,113.02,4170.5,0.00985291,779.31
177.65,106.83,5246.2,0.013112,757.68
167.16,100.65,6248.47,0.0165765,735.42
153.17,94.46,7888.82,0.0222988,712.46
142.2,90.81,9471.64,0.0278481,698.57
133.03,89.02,11036.5,0.0331023,691.64
107.33,88.69,16937.1,0.0509909,690.35
81.04,91.13,26250.1,0.0769141,699.78
70.13,94.4,31485.9,0.0890549,712.24
53.3,100.57,41679.1,0.11066,735.12
45.87,106.74,47173.9,0.118007,757.34
35.38,112.91,56186.3,0.132872,778.92
27.08,119.08,64526.9,0.144689,799.92
19.43,125.25,73300.2,0.156264,820.39
15.27,131.42,78552.6,0.159595,840.36
7.65,135.72,89202.8,0.175496,853.99
4.59,140.36,93867.2,0.178566,868.47
0,145,101325,0.186585,882.71
