Hgt_km	Lat	LonW	Temp_K	 Pres_Pa	Dens_kgm3	Uwind	Vwind
0.003	-10.3	195.5	93.5	1.47E+05	5.34E+00	0.07	0
0.024	-10.3	195.5	93.45	1.47E+05	5.34E+00	0.15	0
0.046	-10.3	195.5	93.41	1.46E+05	5.34E+00	0.24	0
0.068	-10.3	195.5	93.38	1.46E+05	5.33E+00	0.33	0
0.089	-10.3	195.5	93.36	1.46E+05	5.33E+00	0.36	0
0.111	-10.3	195.5	93.33	1.46E+05	5.32E+00	0.33	0
0.132	-10.3	195.5	93.3	1.46E+05	5.32E+00	0.2	0
0.180	-10.3	195.5	93.23	1.45E+05	5.31E+00	0.03	0
0.201	-10.3	195.5	93.2	1.45E+05	5.31E+00	0.11	0
0.223	-10.3	195.5	93.18	1.45E+05	5.30E+00	0.35	0
0.245	-10.3	195.5	93.15	1.45E+05	5.30E+00	0.48	0
0.266	-10.3	195.5	93.13	1.45E+05	5.29E+00	0.92	0
0.288	-10.3	195.5	93.09	1.45E+05	5.29E+00	0.83	0
0.310	-10.3	195.5	93.07	1.45E+05	5.28E+00	1.06	0
0.331	-10.3	195.5	93.07	1.44E+05	5.28E+00	0.76	0
0.353	-10.3	195.5	93.04	1.44E+05	5.28E+00	0.41	0
0.375	-10.3	195.5	93.03	1.44E+05	5.27E+00	0.56	0
0.397	-10.3	195.5	93.02	1.44E+05	5.26E+00	0.45	0
0.418	-10.3	195.5	93.01	1.44E+05	5.26E+00	0.47	0
0.440	-10.3	195.5	92.98	1.44E+05	5.26E+00	0.38	0
0.462	-10.3	195.5	92.96	1.43E+05	5.25E+00	0.43	0
0.484	-10.3	195.5	92.93	1.43E+05	5.25E+00	0.38	0
0.506	-10.3	195.5	92.9	1.43E+05	5.24E+00	0.46	0
0.528	-10.3	195.5	92.88	1.43E+05	5.24E+00	0.27	0
0.549	-10.3	195.5	92.85	1.43E+05	5.24E+00	0.24	0
0.571	-10.3	195.5	92.82	1.43E+05	5.23E+00	0.22	0
0.593	-10.3	195.5	92.8	1.43E+05	5.23E+00	0.21	0
0.615	-10.3	195.5	92.78	1.42E+05	5.22E+00	0.19	0
0.636	-10.3	195.5	92.75	1.42E+05	5.22E+00	0.17	0
0.658	-10.3	195.5	92.73	1.42E+05	5.21E+00	0.15	0
0.680	-10.3	195.5	92.7	1.42E+05	5.21E+00	0.13	0
0.702	-10.3	195.5	92.66	1.42E+05	5.21E+00	0.11	0
0.723	-10.3	195.5	92.64	1.42E+05	5.20E+00	0.09	0
0.745	-10.3	195.5	92.62	1.41E+05	5.20E+00	0.07	0
0.792	-10.3	195.5	92.56	1.41E+05	5.19E+00	0.03	0
0.813	-10.3	195.5	92.54	1.41E+05	5.18E+00	0.01	0
0.835	-10.3	195.5	92.53	1.41E+05	5.18E+00	0	0
0.857	-10.3	195.5	92.52	1.41E+05	5.17E+00	-0.02	0
0.879	-10.3	195.5	92.48	1.41E+05	5.17E+00	-0.04	0
0.901	-10.3	195.5	92.46	1.40E+05	5.16E+00	-0.06	0
0.922	-10.3	195.5	92.44	1.40E+05	5.16E+00	-0.13	0
0.944	-10.3	195.5	92.41	1.40E+05	5.16E+00	-0.3	0
0.966	-10.3	195.5	92.39	1.40E+05	5.15E+00	-0.35	0
0.988	-10.3	195.5	92.37	1.40E+05	5.15E+00	-0.52	0
1.010	-10.3	195.5	92.35	1.40E+05	5.14E+00	-0.58	0
1.032	-10.3	195.5	92.31	1.39E+05	5.14E+00	-0.46	0
1.053	-10.3	195.5	92.28	1.39E+05	5.14E+00	-0.19	0
1.075	-10.3	195.5	92.26	1.39E+05	5.13E+00	-0.44	0
1.097	-10.3	195.5	92.23	1.39E+05	5.13E+00	-0.69	0
1.119	-10.3	195.5	92.2	1.39E+05	5.12E+00	-0.27	0
1.141	-10.3	195.5	92.17	1.39E+05	5.12E+00	-0.4	0
1.163	-10.3	195.5	92.15	1.39E+05	5.11E+00	-0.4	0
1.209	-10.3	195.5	92.09	1.38E+05	5.11E+00	-0.49	0
1.231	-10.3	195.5	92.06	1.38E+05	5.10E+00	-0.34	0
1.253	-10.3	195.5	92.04	1.38E+05	5.10E+00	-0.48	0
1.275	-10.3	195.5	92.01	1.38E+05	5.09E+00	-0.42	0
1.296	-10.3	195.5	91.98	1.38E+05	5.09E+00	-0.66	0
1.318	-10.3	195.5	91.95	1.37E+05	5.09E+00	-0.64	0
1.340	-10.3	195.5	91.92	1.37E+05	5.08E+00	-0.54	0
1.362	-10.3	195.5	91.89	1.37E+05	5.08E+00	-0.48	0
1.384	-10.3	195.5	91.86	1.37E+05	5.07E+00	-0.57	0
1.406	-10.3	195.5	91.84	1.37E+05	5.07E+00	-0.58	0
1.428	-10.3	195.5	91.81	1.37E+05	5.07E+00	-0.59	0
1.450	-10.3	195.5	91.78	1.37E+05	5.06E+00	-0.6	0
1.472	-10.3	195.5	91.76	1.36E+05	5.06E+00	-0.61	0
1.494	-10.3	195.5	91.73	1.36E+05	5.05E+00	-0.62	0
1.516	-10.3	195.5	91.71	1.36E+05	5.05E+00	-0.63	0
1.538	-10.3	195.5	91.68	1.36E+05	5.05E+00	-0.64	0
1.560	-10.3	195.5	91.64	1.36E+05	5.04E+00	-0.65	0
1.582	-10.3	195.5	91.62	1.36E+05	5.04E+00	-0.66	0
1.604	-10.3	195.5	91.59	1.36E+05	5.03E+00	-0.67	0
1.626	-10.3	195.5	91.56	1.35E+05	5.03E+00	-0.68	0
1.648	-10.3	195.5	91.53	1.35E+05	5.03E+00	-0.69	0
1.670	-10.3	195.5	91.5	1.35E+05	5.02E+00	-0.7	0
1.692	-10.3	195.5	91.47	1.35E+05	5.02E+00	-0.71	0
1.714	-10.3	195.5	91.45	1.35E+05	5.01E+00	-0.72	0
1.736	-10.3	195.5	91.42	1.35E+05	5.01E+00	-0.7	0
1.758	-10.3	195.5	91.4	1.35E+05	5.00E+00	-1	0
1.780	-10.3	195.5	91.36	1.34E+05	5.00E+00	-0.74	0
1.828	-10.3	195.5	91.3	1.34E+05	4.99E+00	-0.68	0
1.850	-10.3	195.5	91.28	1.34E+05	4.99E+00	-0.93	0
1.872	-10.3	195.5	91.25	1.34E+05	4.98E+00	-0.68	0
1.894	-10.3	195.5	91.23	1.34E+05	4.98E+00	-0.78	0
1.916	-10.3	195.5	91.21	1.33E+05	4.98E+00	-1.03	0
1.938	-10.3	195.5	91.17	1.33E+05	4.97E+00	-0.83	0
1.960	-10.3	195.5	91.16	1.33E+05	4.97E+00	-0.93	0
1.982	-10.3	195.5	91.14	1.33E+05	4.96E+00	-0.87	0
2.004	-10.3	195.5	91.11	1.33E+05	4.96E+00	-0.92	0
2.026	-10.3	195.5	91.08	1.33E+05	4.95E+00	-1.02	0
2.048	-10.3	195.5	91.06	1.33E+05	4.95E+00	-0.91	0
2.070	-10.3	195.5	91.03	1.32E+05	4.95E+00	-0.76	0
2.092	-10.3	195.5	91	1.32E+05	4.94E+00	-0.63	0
2.114	-10.3	195.5	90.98	1.32E+05	4.94E+00	-0.47	0
2.136	-10.3	195.5	90.95	1.32E+05	4.93E+00	-1.07	0
2.158	-10.3	195.5	90.93	1.32E+05	4.93E+00	-0.92	0
2.180	-10.3	195.5	90.9	1.32E+05	4.92E+00	-1.31	0
2.202	-10.3	195.5	90.89	1.32E+05	4.92E+00	-1.1	0
2.251	-10.3	195.5	90.83	1.31E+05	4.91E+00	-1.2	0
2.273	-10.3	195.5	90.81	1.31E+05	4.91E+00	-1.24	0
2.296	-10.3	195.5	90.78	1.31E+05	4.90E+00	-1.28	0
