ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,MinMaxFactor
0.0,0.000,22.00,48.00,2575.500,2575.500,1.353,93.9,1.481e+05,5.475e+00,19.903,28.098,199.9,1.481e+05,1.000,-0.000,93.3,1.465e+05,5.435e+00,0.0,5.315e+00,5.639e+00,5.540e+00,1.2,2.96,198.7,0.00,0.7,-2.2,3.8,1.9,0.4,0.0,-5.6,-1.0,-5.2,-1.0,7.0,7.0,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.1738e+26,2.880e+02,1.478e+00,27.883,0.9657,2.8359e+24,3.15,2.42,36.40,1.1142e+26,95.32,94.92,28.00,3.1295e+24,1.53,2.67,16.00,0.113
0.0,1.000,22.00,48.00,2576.500,2575.500,1.352,92.5,1.408e+05,5.282e+00,19.769,27.598,197.8,1.481e+05,0.951,0.997,91.9,1.393e+05,5.243e+00,0.0,5.118e+00,5.451e+00,5.385e+00,2.0,3.15,195.9,4.96,0.7,-2.4,4.0,2.7,2.3,0.0,-5.1,-3.1,-2.8,-3.1,7.1,7.1,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.1324e+26,2.881e+02,1.467e+00,27.883,0.9661,2.7359e+24,3.15,2.42,36.40,1.0749e+26,95.32,94.92,28.00,3.0191e+24,1.53,2.67,16.00,0.113
0.0,2.000,22.00,48.00,2577.500,2575.500,1.351,91.2,1.338e+05,5.092e+00,19.493,27.213,195.7,1.481e+05,0.903,1.979,90.5,1.323e+05,5.053e+00,0.0,4.924e+00,5.265e+00,5.179e+00,1.7,3.34,194.1,4.94,0.8,-2.6,4.2,2.5,3.6,0.0,-7.7,-4.4,-4.1,-4.4,7.3,7.3,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.0917e+26,2.882e+02,1.458e+00,27.883,0.9664,2.6375e+24,3.15,2.42,36.40,1.0362e+26,95.32,94.92,28.00,2.9105e+24,1.53,2.67,16.00,0.113
0.0,3.000,22.00,48.00,2578.500,2575.500,1.350,89.9,1.270e+05,4.902e+00,19.309,26.268,193.8,1.481e+05,0.858,2.960,89.3,1.256e+05,4.864e+00,0.0,4.731e+00,5.078e+00,4.968e+00,1.3,3.54,192.5,4.91,0.8,-2.7,4.4,2.1,4.8,0.0,-7.1,-4.3,-2.3,-4.3,7.4,7.4,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.0509e+26,2.883e+02,1.449e+00,27.883,0.9669,2.5390e+24,3.15,2.42,36.40,9.9750e+25,95.32,94.92,28.00,2.8018e+24,1.53,2.67,16.00,0.113
0.0,4.000,22.00,48.00,2579.500,2575.500,1.349,88.8,1.205e+05,4.704e+00,19.084,24.288,192.2,1.481e+05,0.814,3.926,88.2,1.192e+05,4.667e+00,0.0,4.532e+00,4.883e+00,4.794e+00,1.9,3.73,190.4,4.89,0.8,-2.9,4.6,2.7,6.0,0.0,-6.2,-3.2,-0.2,-3.2,7.6,7.6,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.0085e+26,2.885e+02,1.442e+00,27.883,0.9675,2.4365e+24,3.15,2.42,36.40,9.5726e+25,95.32,94.92,28.00,2.6888e+24,1.53,2.67,16.00,0.113
0.0,5.000,22.00,48.00,2580.500,2575.500,1.348,88.0,1.143e+05,4.498e+00,18.913,22.351,191.0,1.481e+05,0.772,4.891,87.4,1.130e+05,4.462e+00,0.0,4.325e+00,4.678e+00,4.657e+00,3.5,3.92,187.7,4.87,0.8,-3.1,4.8,4.4,7.1,0.0,-6.2,-3.1,0.9,-3.1,7.7,7.7,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,9.6438e+25,2.888e+02,1.435e+00,27.883,0.9684,2.3299e+24,3.15,2.42,36.40,9.1537e+25,95.32,94.92,28.00,2.5712e+24,1.53,2.67,16.00,0.113
0.0,6.000,22.00,48.00,2581.500,2575.500,1.347,87.1,1.084e+05,4.307e+00,18.760,23.023,189.6,1.481e+05,0.732,5.851,86.5,1.071e+05,4.272e+00,0.0,4.133e+00,4.488e+00,4.467e+00,3.7,4.12,186.2,4.84,0.8,-3.2,5.1,4.6,8.1,0.0,-6.2,-4.2,2.0,-4.2,7.8,7.8,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,9.2339e+25,2.890e+02,1.428e+00,27.883,0.9692,2.2309e+24,3.15,2.42,36.40,8.7646e+25,95.32,94.92,28.00,2.4619e+24,1.53,2.67,16.00,0.113
0.0,7.000,22.00,48.00,2582.500,2575.500,1.346,86.2,1.027e+05,4.119e+00,18.516,22.400,188.3,1.481e+05,0.694,6.775,85.6,1.015e+05,4.084e+00,0.0,3.945e+00,4.300e+00,4.250e+00,3.2,4.31,185.4,4.82,0.8,-3.4,5.3,4.1,9.1,0.0,-6.7,-5.2,2.4,-5.2,8.0,8.0,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,8.8307e+25,2.892e+02,1.422e+00,27.883,0.9700,2.1335e+24,3.15,2.42,36.40,8.3819e+25,95.32,94.92,28.00,2.3544e+24,1.53,2.67,16.00,0.113
0.0,8.000,22.00,48.00,2583.500,2575.500,1.345,85.3,9.729e+04,3.939e+00,18.516,22.400,187.1,1.481e+05,0.657,7.775,84.7,9.610e+04,3.905e+00,0.0,3.766e+00,4.120e+00,4.122e+00,4.6,4.50,182.9,4.80,0.9,-3.6,5.5,5.5,10.1,0.0,-7.8,-2.5,2.3,-2.5,8.1,8.1,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,8.4451e+25,2.895e+02,1.417e+00,27.883,0.9708,2.0403e+24,3.15,2.42,36.40,8.0159e+25,95.32,94.92,28.00,2.2516e+24,1.53,2.67,16.00,0.113
0.0,9.000,22.00,48.00,2584.500,2575.500,1.344,84.5,9.209e+04,3.763e+00,18.201,21.936,185.9,1.481e+05,0.622,8.643,83.9,9.095e+04,3.730e+00,0.0,3.591e+00,3.944e+00,3.922e+00,4.2,4.69,182.1,4.77,0.9,-3.7,5.7,5.1,11.0,0.0,-10.2,-2.0,0.9,-2.0,8.3,8.3,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,8.0688e+25,2.897e+02,1.412e+00,27.883,0.9716,1.9494e+24,3.15,2.42,36.40,7.6587e+25,95.32,94.92,28.00,2.1512e+24,1.53,2.67,16.00,0.113
