ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,
0.0,-100.000,22.00,48.00,25374.273,25474.273,8.802,157.3,1.062e+06,1.887e+00,63.554,88.608,922.9,1.000e+05,10.618,-150.152,157.3,1.062e+06,1.887e+00,0.0,1.850e+00,1.925e+00,1.902e+00,0.8,1.98,919.3,0.00,0.0,-2.0,2.0,0.8,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,4.3547e+26,3.578e+03,1.514e+00,2.611,1.1235,3.5979e+26,63.92,82.62,2.02,6.6758e+25,23.49,15.33,4.00,8.9271e+24,12.59,2.05,16.04,
0.0,-99.000,22.00,48.00,25375.273,25474.273,8.801,156.4,1.045e+06,1.866e+00,63.554,88.608,921.1,1.000e+05,10.453,-149.152,156.4,1.045e+06,1.866e+00,0.0,1.830e+00,1.904e+00,1.886e+00,1.0,1.98,916.4,1.49,0.0,-2.0,2.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,4.3058e+26,3.580e+03,1.515e+00,2.611,1.1242,3.5575e+26,63.92,82.62,2.02,6.6008e+25,23.49,15.33,4.00,8.8269e+24,12.59,2.05,16.04,
0.0,-98.000,22.00,48.00,25376.273,25474.273,8.800,155.6,1.029e+06,1.845e+00,63.554,88.608,919.3,1.000e+05,10.290,-148.152,155.6,1.029e+06,1.845e+00,0.0,1.809e+00,1.882e+00,1.863e+00,0.9,1.98,915.1,1.49,0.0,-2.0,2.0,0.9,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,4.2575e+26,3.582e+03,1.516e+00,2.611,1.1249,3.5176e+26,63.92,82.62,2.02,6.5268e+25,23.49,15.33,4.00,8.7279e+24,12.59,2.05,16.04,
0.0,-97.000,22.00,48.00,25377.273,25474.273,8.800,154.8,1.013e+06,1.825e+00,63.554,88.608,917.4,1.000e+05,10.129,-147.152,154.8,1.013e+06,1.825e+00,0.0,1.789e+00,1.861e+00,1.839e+00,0.8,1.98,913.8,1.50,0.0,-2.0,2.0,0.8,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,4.2098e+26,3.585e+03,1.517e+00,2.611,1.1257,3.4781e+26,63.92,82.62,2.02,6.4535e+25,23.49,15.33,4.00,8.6299e+24,12.59,2.05,16.04,
0.0,-96.000,22.00,48.00,25378.273,25474.273,8.799,154.0,9.969e+05,1.804e+00,59.836,83.985,915.6,1.000e+05,9.969,-137.592,154.0,9.969e+05,1.804e+00,0.0,1.769e+00,1.841e+00,1.821e+00,0.9,1.98,911.3,1.50,0.0,-2.0,2.0,0.9,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,4.1620e+26,3.587e+03,1.517e+00,2.611,1.1264,3.4387e+26,63.92,82.62,2.02,6.3804e+25,23.49,15.33,4.00,8.5321e+24,12.59,2.05,16.04,
0.0,-95.000,22.00,48.00,25379.273,25474.273,8.798,153.2,9.804e+05,1.783e+00,59.836,83.985,913.7,1.000e+05,9.804,-136.592,153.2,9.804e+05,1.783e+00,0.0,1.748e+00,1.818e+00,1.807e+00,1.4,1.98,907.5,1.51,0.0,-2.0,2.0,1.4,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,4.1128e+26,3.589e+03,1.518e+00,2.611,1.1271,3.3980e+26,63.92,82.62,2.02,6.3048e+25,23.49,15.33,4.00,8.4311e+24,12.59,2.05,16.04,
0.0,-94.000,22.00,48.00,25380.273,25474.273,8.797,152.4,9.641e+05,1.761e+00,59.836,83.985,911.9,1.000e+05,9.641,-135.592,152.4,9.641e+05,1.761e+00,0.0,1.727e+00,1.797e+00,1.786e+00,1.4,1.98,905.6,1.51,0.0,-2.0,2.0,1.4,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,4.0641e+26,3.591e+03,1.519e+00,2.611,1.1278,3.3578e+26,63.92,82.62,2.02,6.2302e+25,23.49,15.33,4.00,8.3313e+24,12.59,2.05,16.04,
0.0,-93.000,22.00,48.00,25381.273,25474.273,8.797,151.6,9.481e+05,1.740e+00,59.836,83.985,910.0,1.000e+05,9.481,-134.592,151.6,9.481e+05,1.740e+00,0.0,1.706e+00,1.775e+00,1.762e+00,1.2,1.98,904.5,1.52,0.0,-2.0,2.0,1.2,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,4.0160e+26,3.594e+03,1.520e+00,2.611,1.1285,3.3180e+26,63.92,82.62,2.02,6.1565e+25,23.49,15.33,4.00,8.2327e+24,12.59,2.05,16.04,
0.0,-92.000,22.00,48.00,25382.273,25474.273,8.796,150.8,9.324e+05,1.720e+00,59.836,83.985,908.1,1.000e+05,9.324,-133.592,150.8,9.324e+05,1.720e+00,0.0,1.686e+00,1.754e+00,1.746e+00,1.5,1.98,901.1,1.52,0.0,-2.0,2.0,1.5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,3.9685e+26,3.596e+03,1.521e+00,2.611,1.1292,3.2787e+26,63.92,82.62,2.02,6.0836e+25,23.49,15.33,4.00,8.1353e+24,12.59,2.05,16.04,
0.0,-91.000,22.00,48.00,25383.273,25474.273,8.795,150.0,9.170e+05,1.699e+00,59.836,83.985,906.2,1.000e+05,9.170,-132.592,150.0,9.170e+05,1.699e+00,0.0,1.666e+00,1.733e+00,1.723e+00,1.4,1.98,899.8,1.53,0.0,-2.0,2.0,1.4,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,3.9215e+26,3.598e+03,1.522e+00,2.611,1.1299,3.2399e+26,63.92,82.62,2.02,6.0116e+25,23.49,15.33,4.00,8.0390e+24,12.59,2.05,16.04,
