ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,Nnd_m3,Nmass_pct,Nmole_pct,Namw,Ond_m3,Omass_pct,Omole_pct,Oamw,HeightAboveSurface_km,SurfaceHeight_km
0.0,0.000,22.00,48.00,6051.800,6051.800,8.870,735.3,9.209e+06,6.479e+01,15.819,19.555,419.0,9.209e+06,1.000,-0.000,735.3,9.209e+06,6.479e+01,0.0,6.352e+01,6.609e+01,6.530e+01,0.8,1.98,417.4,0.00,0.0,-2.0,2.0,0.8,-1.0,-0.1,-0.8,-0.1,-1.8,-0.1,1.0,0.5,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,8.9819e+26,1.914e+02,1.235e+00,43.440,1.0100,8.6675e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,3.1437e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,0.451,-0.451
0.0,1.000,22.00,48.00,6052.800,6051.800,8.867,727.7,8.645e+06,6.156e+01,15.819,19.555,416.5,9.209e+06,0.939,1.000,727.7,8.645e+06,6.156e+01,0.0,6.035e+01,6.279e+01,6.234e+01,1.3,1.98,413.8,6.30,0.0,-2.0,2.0,1.3,-2.2,-0.2,-0.9,-0.3,-3.1,-0.4,1.2,0.6,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,8.5341e+26,1.914e+02,1.235e+00,43.440,1.0083,8.2354e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.9869e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,1.451,-0.451
0.0,2.000,22.00,48.00,6053.800,6051.800,8.864,720.2,8.109e+06,5.845e+01,15.628,19.290,413.9,9.209e+06,0.881,1.988,720.2,8.109e+06,5.845e+01,0.0,5.730e+01,5.962e+01,5.905e+01,1.0,1.98,411.8,6.37,-0.0,-2.0,2.0,1.0,-3.5,-0.2,-1.6,-0.5,-5.1,-0.7,1.5,0.7,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,8.1030e+26,1.914e+02,1.235e+00,43.440,1.0065,7.8193e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.8360e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,2.451,-0.451
0.0,3.000,22.00,48.00,6054.800,6051.800,8.861,712.4,7.601e+06,5.547e+01,15.454,19.110,411.3,9.209e+06,0.825,2.966,712.4,7.601e+06,5.547e+01,0.0,5.438e+01,5.658e+01,5.587e+01,0.7,1.98,409.8,6.44,-0.0,-2.0,2.0,0.7,-4.7,-0.3,-1.6,-0.5,-6.3,-0.9,1.7,0.8,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,7.6898e+26,1.914e+02,1.234e+00,43.440,1.0050,7.4207e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.6914e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,3.451,-0.451
0.0,4.000,22.00,48.00,6055.800,6051.800,8.858,704.6,7.120e+06,5.262e+01,15.303,18.959,408.6,9.209e+06,0.773,3.937,704.6,7.120e+06,5.262e+01,0.0,5.159e+01,5.367e+01,5.316e+01,1.0,1.98,406.6,6.51,0.0,-2.0,2.0,1.0,-5.9,-0.4,-1.6,-0.4,-7.5,-0.8,1.9,1.0,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,7.2947e+26,1.914e+02,1.234e+00,43.440,1.0034,7.0394e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.5532e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,4.451,-0.451
0.0,5.000,22.00,48.00,6056.800,6051.800,8.855,696.8,6.666e+06,4.987e+01,15.150,18.630,406.1,9.209e+06,0.724,4.898,696.8,6.666e+06,4.987e+01,0.0,4.889e+01,5.087e+01,5.082e+01,1.9,1.98,402.3,6.58,-0.0,-2.0,2.0,1.9,-7.2,-0.5,-1.7,-0.4,-8.9,-0.9,2.2,1.1,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,6.9135e+26,1.914e+02,1.234e+00,43.440,1.0022,6.6715e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.4197e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,5.451,-0.451
0.0,6.000,22.00,48.00,6057.800,6051.800,8.853,688.8,6.234e+06,4.724e+01,14.942,18.457,403.5,9.209e+06,0.677,5.830,688.8,6.234e+06,4.724e+01,0.0,4.631e+01,4.818e+01,4.813e+01,1.9,1.98,399.8,6.66,0.0,-2.0,2.0,1.9,-8.4,-0.6,-1.8,-0.7,-10.2,-1.2,2.4,1.2,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,6.5489e+26,1.914e+02,1.234e+00,43.440,1.0010,6.3197e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.2921e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,6.451,-0.451
0.0,7.000,22.00,48.00,6058.800,6051.800,8.850,681.1,5.829e+06,4.471e+01,14.862,18.167,401.1,9.209e+06,0.633,6.799,681.1,5.829e+06,4.471e+01,0.0,4.383e+01,4.560e+01,4.538e+01,1.5,1.98,398.1,6.73,-0.0,-2.0,2.0,1.5,-9.6,-0.6,-2.1,-0.9,-11.8,-1.6,2.6,1.3,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,6.1982e+26,1.914e+02,1.234e+00,43.440,1.0000,5.9812e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.1694e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,7.451,-0.451
0.0,8.000,22.00,48.00,6059.800,6051.800,8.847,673.6,5.443e+06,4.226e+01,14.614,17.744,398.6,9.209e+06,0.591,7.685,673.6,5.443e+06,4.226e+01,0.0,4.143e+01,4.311e+01,4.317e+01,2.2,1.98,394.4,6.81,-0.0,-2.0,2.0,2.2,-10.9,-0.7,-2.8,-0.4,-13.6,-1.1,2.9,1.4,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,5.8585e+26,1.914e+02,1.234e+00,43.440,0.9990,5.6535e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.0505e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,8.451,-0.451
0.0,9.000,22.00,48.00,6060.800,6051.800,8.844,665.8,5.081e+06,3.995e+01,14.543,17.790,396.1,9.209e+06,0.552,8.648,665.8,5.081e+06,3.995e+01,0.0,3.917e+01,4.075e+01,4.068e+01,1.8,1.98,392.6,6.89,0.0,-2.0,2.0,1.8,-12.1,-0.8,-4.0,-0.3,-16.1,-1.1,3.1,1.6,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,5.5383e+26,1.914e+02,1.234e+00,43.440,0.9981,5.3444e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,1.9384e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,9.451,-0.451
