Authors,Author full names,Author(s) ID,Title,Planet,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Country of Origin,Institution,Affiliations,Authors with affiliations,Funding Texts,Funding Source,Publisher,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
London Howard S.,London Howard S. (901),901,Change of Satellite Orbit Plane by Aerodynamic Maneuvering,Earth,1962,Journal of the Aerospace Sciences,29,3,,,,10,151,10.2514/8.9416,,United States,United Aircraft Corporation ,United Aircraft Corporation ,"London Howard S., United Aircraft Corporation",,NA,AIAA,English,Article,Final,,Manual,NA
Finch Thomas W.,Finch Thomas W. (902),902,Aerodynamic braking trajectories for mars orbit attainment,Mars,1965,Journal of Spacecraft and Rockets,2,4,,,,4,7,10.2514/3.28218,,United States,Douglas Aircraft Company,Douglas Aircraft Company,"Finch Thomas W., Douglas Aircraft Company",,NA,AIAA,English,Article,Final,,Manual,NA
Lichtenstein Jacob H.,Lichtenstein Jacob H. (903),903,Some Considerations on the Use Of Atmospheric Braking for a Transfer into a Mars Orbit,Mars,1965,NASA Technical Reports,,,,,,51,5,,,United States,NASA Langley Research Center,"NASA Langley Research Center, Hampton, VA, United States","Lichtenstein Jacob H., NASA Langley Research Center, Hampton, VA, United States",,NA,NASA,English,Technical Report,Final,,Manual,
Repic E.M.,Repic E.M. (904),904,Aerobraking as a potential planetary capture mode,Mars,1968,Journal of Spacecraft and Rockets,,,,,,6,20,,,United States,North American Rockwell Corporation,"North American Rockwell Corporation, Downey, CA, United States","Repic E.M., North American Rockwell Corporation, Downey, CA, United States",,NA,,English,Article,Final,,Manual,
Cruz Manuel I.,"Cruz, Manuel I. (7201363736)",7201363736,The Aerocapture Vehicle Mission Design Concept,Mars,1979,Conference on Advanced Technology for Future Space Systems,,,,,,7,37,,,United States,NASA Jet Propulsion Laboratory,"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, United States","Cruz Manuel I., Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, United States","The research described in this paper was carried out by the Jet Propulsion Laboratory, California Institute of Technology, under contract with the National Aeronautics and Space Administration. ",NASA,AIAA,English,Conference paper,Final,,Manual,
Cruz Manuel I.,"Cruz, Manuel I. (7201363736)",7201363736,TECHNOLOGY REQUIREMENTS FOR A GENERIC AEROCAPTURE SYSTEM.,Generic,1980,AIAA Paper,,,,,,12,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019246531&partnerID=40&md5=ba61ba418c32d1c2dc9cbc348f0f0e72,United States,NASA Jet Propulsion Laboratory,,,,NASA,AIAA,undefined,Article,Final,,Scopus,2-s2.0-0019246531
Hassett Robert J.,"Hassett, Robert J. (57189103120)",57189103120,DESIGN INTEGRATION OF AEROCAPTURE AND AEROMANEUVER VEHICLES FOR A MARS SAMPLE RETURN MISSION.,Mars,1980,"Collection of Technical Papers - AIAA/ASME/ASCE/AHS/ASC Structures, Structural Dynamics and Materials Conference",,,,377,385,8,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019212668&partnerID=40&md5=28929d3302a2cc055e5566650e0f543f,United States,General Electric Co.,,,,NASA,AIAA (CP804),undefined,Conference paper,Final,,Scopus,2-s2.0-0019212668
French James R.; Cruz Manuel I.,"French, James R. (7403330980); Cruz, Manuel I. (7201363736)",7403330980; 7201363736,AEROBRAKING AND AEROCAPTURE FOR PLANETARY MISSIONS.,Mars,1980,"Astronautics & aeronautics New York, N.Y.",18,2,,48,"55,71",,18,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018984679&partnerID=40&md5=1e962345df1234109bd10c4af2353e10,United States,NASA Jet Propulsion Laboratory,,,,NA,,undefined,Article,Final,,Scopus,2-s2.0-0018984679
Cruz Manuel I.,"Cruz, Manuel I. (7201363736)",7201363736,TECHNOLOGY REQUIREMENTS FOR A GENERIC AEROCAPTURE SYSTEM.,Generic,1980,AIAA Paper,,,,,,12,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069335508&partnerID=40&md5=864f4dd07ca9d2b48679119af173b759,United States,NASA Jet Propulsion Laboratory,,,,NASA,AIAA,undefined,Conference paper,Final,,Scopus,2-s2.0-85069335508
Roberts Jr. Philip H.; Wright Jerome L.,"Roberts Jr., Philip H. (57217429054); Wright, Jerome L. (57199190829)",57217429054; 57199190829,SATURN ORBITER DUAL PROBE MISSION CONCEPT.,Titan,1980,Journal of the Astronautical Sciences,28,2,,123,138,15,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019007430&partnerID=40&md5=6f71d580a80e4d3c27d239e4f9bce697,United States,NASA Jet Propulsion Laboratory,,,,NA,,undefined,Article,Final,,Scopus,2-s2.0-0019007430
Florence D.E.,"Florence, D.E. (7003357712)",7003357712,AEROTHERMODYNAMIC DESIGN FEASIBILITY OF A MARS AEROCAPTURE/AEROMANEUVER VEHICLE.,Mars,1981,AIAA Paper,,,,,,15,3,10.2514/6.1981-350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086619076&doi=10.2514%2f6.1981-350&partnerID=40&md5=841de965d23321cec91fbe97a842123e,United States,General Electric Co.,,,,NASA,AIAA,undefined,Conference paper,Final,,Scopus,2-s2.0-85086619076
Tiwari S.N.; Chow H.; Moss J.N.,"Tiwari, S.N. (7202966183); Chow, H. (7102303369); Moss, J.N. (7401486853)",7202966183; 7102303369; 7401486853,ANALYSIS OF AEROTHERMODYNAMIC ENVIRONMENT OF A TITAN AEROCAPTURE VEHICLE.,Titan,1982,Progress in Astronautics and Aeronautics,82,,,430,454,24,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020340945&partnerID=40&md5=d6f8bc253759797020a4262c1f11dadc,United States,Old Dominion University,,,,NA,AIAA,English,Conference paper,Final,,Scopus,2-s2.0-0020340945
Florence Dwight E.,"Florence, Dwight E. (7003357712)",7003357712,AEROTHERMODYNAMIC DESIGN FEASIBILITY OF A GENERIC PLANETARY AEROCAPTURE VEHICLE.,Generic,1982,Progress in Astronautics and Aeronautics,82,,,477,519,42,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020340435&partnerID=40&md5=2018ac6928a82aac10d378e41332b7ba,United States,General Electric Co.,,,,NASA,AIAA,English,Conference paper,Final,,Scopus,2-s2.0-0020340435
Vinh Nguyen X.; Johannesen Jennie R.; Longuski James M.; Hanson John M.,"Vinh, Nguyen X. (7006500524); Johannesen, Jennie R. (57197646769); Longuski, James M. (7005214433); Hanson, John M. (7402747873)",7006500524; 57197646769; 7005214433; 7402747873,SECOND-ORDER ANALYTIC SOLUTION FOR AEROCAPTURE AND BALLISTIC FLY-THROUGH TRAJECTORIES.,Generic,1983,Advances in the Astronautical Sciences,54,Pt 2,,1189,1209,20,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020927242&partnerID=40&md5=affd6826463ab8b82411b38874b9cd22,United States,Univ. of Michigan,"Univ of Michigan, Ann Arbor, MI, USA, Univ of Michigan, Ann Arbor, MI, USA","Vinh Nguyen X., Univ of Michigan, Ann Arbor, MI, USA, Univ of Michigan, Ann Arbor, MI, USA; Johannesen Jennie R., Univ of Michigan, Ann Arbor, MI, USA, Univ of Michigan, Ann Arbor, MI, USA; Longuski James M., Univ of Michigan, Ann Arbor, MI, USA, Univ of Michigan, Ann Arbor, MI, USA; Hanson John M., Univ of Michigan, Ann Arbor, MI, USA, Univ of Michigan, Ann Arbor, MI, USA",,NA,r American Astronautical Soc by Univelt Inc,English,Conference paper,Final,,Scopus,2-s2.0-0020927242
Menees Gene P.,"Menees, Gene P. (6701844617)",6701844617,TRAJECTORY ANALYSIS OF RADIATIVE HEATING FOR PLANETARY MISSIONS WITH AEROBRAKING OF SPACECRAFT.,Generic,1983,AIAA Paper,,,,,,14,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020545567&partnerID=40&md5=4e4460fdcffe183f9d21e08647ea9e56,United States,NASA Ames Research Center,,,,NA,AIAA,English,Conference paper,Final,,Scopus,2-s2.0-0020545567
