Source,Mission,Planet,Launch,Year,EFPA (deg),Speed (km/s),Trim L/D,Control method,beta (kg/m2),Peak deceleration (g),Shape,Nose radius (m),Base area (m2),Base diameter (m),Entry mass (kg),Payload mass (kg),TPS mass fraction,Peak convective heating (W/cm2),Peak radiative heating (W/cm2),Peak heating stagnation pressure (atm),Integrated heat load (kJ/cm2),Peak stagnation heat rate (W/cm2),Forebody TPS material,Forebody TPS thickness (cm),Forebody TPS mass (kg),Aftbody TPS material,Aftbody TPS thickness (cm),Aftbody TPS mass (kg),Country,Successful,Status
NASA Ames Blue Book,FIRE II,Earth,1965,1965,-14.24,11.35,0,Ballistic,164.1,77.2,Spherical section,0.935,0.354,0.672,86.57,NA,NA,920,650,1.046,16.136,1339,Phenolic-asbestos,0.3,NA,Phenolic-asbestos,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,Apollo AS-201,Earth,1966,1966,-9.03,7.67,0,"No control, rolled",NA,14.3,"Capsule, 33 deg. cone",3,12.02,3.91,5027,NA,13.7,186,0,0.85,7.6,186,Avco 5026-39 HC,4.32,NA,NA,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,Apollo AS-202,Earth,1966,1966,-3.74,8.35,0.372,Roll modulation,NA,NA,"Capsule, 33 deg. cone",3,12.2,3.91,5424,NA,13.7,59.2,0,0.11,18.789,59.2,Avco 5026-39 HC,4.32,NA,NA,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,Apollo AS-501,Earth,1966,1966,-7.19,10.73,0.41,Roll modulation,340,8.79,"Capsule, 33 deg. cone",3,12.08,3.91,5424,NA,13.7,219,317,0.542,24.12,527,Avco 5026-39 HC,4.32,NA,NA,NA,NA,USA,Yes,Flown
Dutta et al. (2012),Venera 4,Venus,1967,1967,-78,10.7,0,Ballistic,519,450,Sphere,1,0.785,1,383,NA,NA,NA,NA,NA,NA,9660,NA,NA,NA,NA,NA,NA,USSR,Yes,Flown
NASA Ames Blue Book,Apollo AS-502,Earth,1968,1968,-5.9,9.6,0.375,Roll modulation,395.8,NA,"Capsule, 33 deg. cone",3,12.02,3.91,5424,NA,13.7,197,43,0.354,32,240,Avco 5026-39 HC,4.32,NA,NA,NA,NA,USA,Yes,Flown
Dutta et al. (2012),Venera 5,Venus,1969,1969,-65,11.2,0,Ballistic,549,450,Sphere,1,0.785,1,405,NA,NA,NA,NA,NA,NA,13500,NA,NA,NA,NA,NA,NA,USSR,Yes,Flown
Dutta et al. (2012),Venera 6,Venus,1969,1969,-65,11.2,0,Ballistic,549,450,Sphere,1,0.785,1,405,NA,NA,NA,NA,NA,NA,13500,NA,NA,NA,NA,NA,NA,USSR,Yes,Flown
Dutta et al. (2012),Venera 7,Venus,1970,1970,-70,11.2,0,Ballistic,677,450,Circumellipsoid,1,0.785,1,495,NA,NA,NA,NA,NA,NA,17000,NA,NA,NA,NA,NA,NA,USSR,Yes,Flown
NASA Ames Blue Book,PAET,Earth,1971,1971,-41,6.66,0,Ballistic,68.4,76,"55 deg, sphere-cone",0.457,0.66,0.914,62.1,14,17.2,227,0,0.6,1.982,227,Beryllium,2.5,NA,NA,NA,NA,USA,Yes,Flown
Dutta et al. (2012),Venera 8,Venus,1972,1972,-77,11.6,0,Ballistic,670,500,Circumellipsoid,1,0.785,1,495,NA,NA,NA,NA,NA,NA,30000,NA,NA,NA,NA,NA,NA,USSR,Yes,Flown
NASA Ames Blue Book,Viking 1,Mars,1975,1976,-17.76,4.418,0.18,3-axis RCS rate limiting,60.41,6.86,70 deg. sphere-cone,0.8763,9.84,3.54,982.9,NA,2.8,21.1,0,0.06,1.001,21.1,SLA-561V,1.38,NA,NA,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,Viking 2,Mars,1975,1976,-17.62,4.48,0.18,3-axis RCS rate limiting,61.44,7.2,70 deg. sphere-cone,0.876,9.84,3.54,981.6,NA,2.8,21.95,0,0.041,1.043,21.95,SLA-561V,1.38,NA,NA,NA,NA,USA,Yes,Flown
Dutta et al. (2012),Venera 9,Venus,1975,1975,-20.5,10.7,0,Ballistic,367,150,Sphere,NA,4.52,2.4,1560,NA,NA,NA,NA,NA,NA,3040,NA,NA,NA,NA,NA,NA,USSR,Yes,Flown
Dutta et al. (2012),Venera 10,Venus,1975,1975,-23,10.7,0,Ballistic,367,170,Sphere,NA,4.52,2.4,1560,NA,NA,NA,NA,NA,NA,3370,NA,NA,NA,NA,NA,NA,USSR,Yes,Flown
NASA Ames Blue Book,Pioneer Venus Small North,Venus,1978,1978,-68.74,11.54,0,Ballistic,190,465.9,45 deg. sphere-cone,0.19,0.46,0.76,91,NA,12.9,3085,3273,16.5,10.5,6150,Carbon-phenolic,1.2,NA,NA,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,Pioneer Venus Small Night,Venus,1978,1978,-41.5,11.54,0,Ballistic,190,353.7,45 deg. sphere-cone,0.19,0.46,0.76,91,NA,12.9,2743,2330,4.9,11.4,4906,Carbon-phenolic,1.2,NA,NA,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,Pioneer Venus Small Day,Venus,1978,1978,-25.42,11.54,0,Ballistic,190,227.7,45 deg. sphere-cone,0.19,0.46,0.76,91,NA,12.9,2250,1363,8.1,13.264,3476,Carbon-phenolic,1.2,NA,NA,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,Pioneer Venus Large Probe,Venus,1978,1978,-32.37,11.54,0,Ballistic,190,286.4,45 deg. sphere-cone,0.36,1.59,1.42,316,NA,10.3,1813,2468,10.2,11.3,4145,Carbon-phenolic,1.6,NA,NA,NA,NA,USA,Yes,Flown
Dutta et al. (2012),Venera 11,Venus,1978,1978,-21,11.2,0,Ballistic,376,167,Sphere,NA,4.52,2.4,NA,NA,NA,NA,NA,NA,NA,4350,NA,NA,NA,NA,NA,NA,USSR,Yes,Flown
